Editing effect,Group
1.1904,Pred top 10%
5.2382,Pred top 10%
5.2382,Pred top 10%
5.2382,Pred top 10%
6.2271,Pred top 10%
6.2271,Pred top 10%
6.2271,Pred top 10%
6.0575,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
5.4371,Pred top 10%
3.6987,Pred top 10%
3.6987,Pred top 10%
3.6987,Pred top 10%
3.6987,Pred top 10%
3.6987,Pred top 10%
4.0875,Pred top 10%
1.176,Pred top 10%
1.176,Pred top 10%
1.176,Pred top 10%
1.176,Pred top 10%
1.176,Pred top 10%
1.176,Pred top 10%
4.5937,Pred top 10%
3.3726,Pred top 10%
1.2867,Pred top 10%
1.2867,Pred top 10%
1.2479,Pred top 10%
1.2479,Pred top 10%
4.3725,Pred top 10%
1.1557,Pred top 10%
3.6997,Pred top 10%
3.6997,Pred top 10%
3.6997,Pred top 10%
3.6997,Pred top 10%
3.6997,Pred top 10%
3.6997,Pred top 10%
3.6997,Pred top 10%
3.6997,Pred top 10%
3.6997,Pred top 10%
3.6997,Pred top 10%
3.6997,Pred top 10%
3.6997,Pred top 10%
3.8675,Pred top 10%
8.7984,Pred top 10%
0.12141,Pred top 10%
0.078977,Pred top 10%
0.72077,Pred top 10%
0.64269,Pred top 10%
0.64269,Pred top 10%
0.64269,Pred top 10%
6.465,Pred top 10%
6.465,Pred top 10%
0.64422,Pred top 10%
0.64422,Pred top 10%
0.64422,Pred top 10%
0.64422,Pred top 10%
0.64422,Pred top 10%
0.64422,Pred top 10%
0.64422,Pred top 10%
0.64422,Pred top 10%
0.64422,Pred top 10%
0.64422,Pred top 10%
0.64422,Pred top 10%
0.64422,Pred top 10%
0.64422,Pred top 10%
4.3501,Pred top 10%
4.3501,Pred top 10%
4.3501,Pred top 10%
4.3501,Pred top 10%
4.3501,Pred top 10%
0.48616,Pred top 10%
5.8426,Pred top 10%
5.8426,Pred top 10%
5.0471,Pred top 10%
5.0471,Pred top 10%
4.4879,Pred top 10%
6.62,Pred top 10%
0.59558,Pred top 10%
0.59558,Pred top 10%
0.59558,Pred top 10%
0.59558,Pred top 10%
3.4375,Pred top 10%
3.4375,Pred top 10%
3.4375,Pred top 10%
3.4375,Pred top 10%
3.4375,Pred top 10%
0.84787,Pred top 10%
1.0716,Pred top 10%
1.0716,Pred top 10%
1.0146,Pred top 10%
1.0146,Pred top 10%
1.0146,Pred top 10%
4.7572,Pred top 10%
4.7572,Pred top 10%
4.7572,Pred top 10%
4.7677,Pred top 10%
4.9287,Pred top 10%
4.9287,Pred top 10%
4.9199,Pred top 10%
4.9199,Pred top 10%
4.9199,Pred top 10%
4.9199,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
4.9346,Pred top 10%
0.66641,Pred top 10%
0.66641,Pred top 10%
0.66641,Pred top 10%
3.8034,Pred top 10%
3.8034,Pred top 10%
3.8034,Pred top 10%
3.8034,Pred top 10%
3.9056,Pred top 10%
3.9056,Pred top 10%
6.7232,Pred top 10%
4.2329,Pred top 10%
4.2329,Pred top 10%
1.1659,Pred top 10%
1.1659,Pred top 10%
1.1659,Pred top 10%
1.1659,Pred top 10%
3.7691,Pred top 10%
5.4457,Pred top 10%
3.9208,Pred top 10%
3.3769,Pred top 10%
5.1813,Pred top 10%
1.2053,Pred top 10%
1.2053,Pred top 10%
1.2053,Pred top 10%
1.2053,Pred top 10%
1.2053,Pred top 10%
1.2053,Pred top 10%
1.2053,Pred top 10%
5.7032,Pred top 10%
4.6505,Pred top 10%
4.6505,Pred top 10%
4.6505,Pred top 10%
4.6505,Pred top 10%
4.6505,Pred top 10%
4.6505,Pred top 10%
4.6505,Pred top 10%
4.6505,Pred top 10%
4.6505,Pred top 10%
4.4622,Pred top 10%
1.3427,Pred top 10%
1.3427,Pred top 10%
1.3427,Pred top 10%
1.3427,Pred top 10%
1.3427,Pred top 10%
1.3427,Pred top 10%
5.6346,Pred top 10%
3.691,Pred top 10%
1.2581,Pred top 10%
0.81412,Pred top 10%
0.81412,Pred top 10%
1.3122,Pred top 10%
1.3122,Pred top 10%
1.3122,Pred top 10%
1.3122,Pred top 10%
1.3122,Pred top 10%
5.3874,Pred top 10%
5.3874,Pred top 10%
3.4222,Pred top 10%
3.4159,Pred top 10%
3.4159,Pred top 10%
3.4159,Pred top 10%
3.4159,Pred top 10%
3.4159,Pred top 10%
3.4159,Pred top 10%
4.7642,Pred top 10%
4.7642,Pred top 10%
5.3279,Pred top 10%
0.86944,Pred top 10%
6.0884,Pred top 10%
1.1448,Pred top 10%
5.506,Pred top 10%
0.78781,Pred top 10%
0.78781,Pred top 10%
0.78781,Pred top 10%
0.78781,Pred top 10%
0.78781,Pred top 10%
0.78781,Pred top 10%
3.3981,Pred top 10%
3.3981,Pred top 10%
3.3981,Pred top 10%
3.3981,Pred top 10%
3.3981,Pred top 10%
5.1127,Pred top 10%
5.1127,Pred top 10%
3.4388,Pred top 10%
4.0203,Pred top 10%
4.8824,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.7819,Pred top 10%
5.2369,Pred top 10%
5.2369,Pred top 10%
0.79854,Pred top 10%
0.79854,Pred top 10%
0.79854,Pred top 10%
5.0545,Pred top 10%
5.0545,Pred top 10%
5.0545,Pred top 10%
5.0545,Pred top 10%
5.0545,Pred top 10%
5.0545,Pred top 10%
0.99462,Pred top 10%
4.3766,Pred top 10%
4.3766,Pred top 10%
4.3766,Pred top 10%
4.3766,Pred top 10%
4.3766,Pred top 10%
6.8255,Pred top 10%
6.8255,Pred top 10%
0.35652,Pred top 10%
0.72242,Pred top 10%
0.72242,Pred top 10%
0.72242,Pred top 10%
5.0633,Pred top 10%
5.6565,Pred top 10%
5.6565,Pred top 10%
3.4915,Pred top 10%
3.4915,Pred top 10%
3.4915,Pred top 10%
3.4915,Pred top 10%
3.4915,Pred top 10%
4.3351,Pred top 10%
4.3351,Pred top 10%
8.4548,Pred top 10%
0.91583,Pred top 10%
0.83333,Pred top 10%
0.83333,Pred top 10%
1.1434,Pred top 10%
7.6645,Pred top 10%
7.6645,Pred top 10%
7.6645,Pred top 10%
7.6645,Pred top 10%
4.4224,Pred top 10%
4.4224,Pred top 10%
4.4224,Pred top 10%
4.4224,Pred top 10%
4.4224,Pred top 10%
4.4224,Pred top 10%
4.4224,Pred top 10%
4.4224,Pred top 10%
7.5811,Pred top 10%
4.4429,Pred top 10%
4.4429,Pred top 10%
1.0612,Pred top 10%
0.96958,Pred top 10%
0.52013,Pred top 10%
0.52013,Pred top 10%
0.3854,Pred top 10%
0.3854,Pred top 10%
0.3854,Pred top 10%
0.3854,Pred top 10%
0.3854,Pred top 10%
0.3854,Pred top 10%
0.3854,Pred top 10%
0.3854,Pred top 10%
0.3854,Pred top 10%
0.3854,Pred top 10%
0.3854,Pred top 10%
3.7749,Pred top 10%
7.0903,Pred top 10%
7.0903,Pred top 10%
1.0206,Pred top 10%
1.0206,Pred top 10%
1.0206,Pred top 10%
1.0206,Pred top 10%
1.0206,Pred top 10%
1.0206,Pred top 10%
1.0206,Pred top 10%
1.0206,Pred top 10%
4.7572,Pred top 10%
5.7424,Pred top 10%
4.3485,Pred top 10%
4.3485,Pred top 10%
4.3485,Pred top 10%
4.3485,Pred top 10%
4.3485,Pred top 10%
4.3485,Pred top 10%
7.2044,Pred top 10%
7.2044,Pred top 10%
7.2044,Pred top 10%
7.2044,Pred top 10%
5.6478,Pred top 10%
5.6478,Pred top 10%
5.6478,Pred top 10%
3.4806,Pred top 10%
3.4806,Pred top 10%
0.93705,Pred top 10%
4.8922,Pred top 10%
4.6262,Pred top 10%
4.6262,Pred top 10%
4.6262,Pred top 10%
1.2175,Pred top 10%
1.2012,Pred top 10%
1.1899,Pred top 10%
1.1899,Pred top 10%
1.1899,Pred top 10%
1.1899,Pred top 10%
1.1899,Pred top 10%
1.1899,Pred top 10%
4.4688,Pred top 10%
4.4688,Pred top 10%
4.4688,Pred top 10%
4.6418,Pred top 10%
4.9976,Pred top 10%
6.613,Pred top 10%
6.613,Pred top 10%
6.613,Pred top 10%
6.613,Pred top 10%
6.613,Pred top 10%
6.613,Pred top 10%
6.613,Pred top 10%
0.031926,Pred top 10%
0.031926,Pred top 10%
0.031926,Pred top 10%
0.031926,Pred top 10%
0.031926,Pred top 10%
0.031926,Pred top 10%
0.38736,Pred top 10%
0.53526,Pred top 10%
0.53526,Pred top 10%
0.53526,Pred top 10%
3.8309,Pred top 10%
3.8309,Pred top 10%
3.8309,Pred top 10%
0.97882,Pred top 10%
0.97882,Pred top 10%
0.97882,Pred top 10%
0.97882,Pred top 10%
0.97882,Pred top 10%
0.97882,Pred top 10%
0.97882,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
5.4203,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
0.50137,Pred top 10%
4.596,Pred top 10%
4.7223,Pred top 10%
4.7223,Pred top 10%
4.7223,Pred top 10%
4.4197,Pred top 10%
4.4197,Pred top 10%
4.4197,Pred top 10%
4.4197,Pred top 10%
1.3234,Pred top 10%
1.3234,Pred top 10%
1.3234,Pred top 10%
1.3234,Pred top 10%
1.3234,Pred top 10%
1.2507,Pred top 10%
1.2507,Pred top 10%
3.8615,Pred top 10%
1.3345,Pred top 10%
1.3345,Pred top 10%
1.3345,Pred top 10%
3.5389,Pred top 10%
3.5389,Pred top 10%
3.5389,Pred top 10%
3.6674,Pred top 10%
4.2444,Pred top 10%
4.7676,Pred top 10%
3.7063,Pred top 10%
3.7063,Pred top 10%
3.7063,Pred top 10%
5.5022,Pred top 10%
5.3229,Pred top 10%
0.99958,Pred top 10%
0.99958,Pred top 10%
0.99958,Pred top 10%
0.99958,Pred top 10%
0.99958,Pred top 10%
0.60667,Pred top 10%
1.1814,Pred top 10%
1.1814,Pred top 10%
1.1814,Pred top 10%
1.1814,Pred top 10%
1.1814,Pred top 10%
1.079,Pred top 10%
1.079,Pred top 10%
1.079,Pred top 10%
1.079,Pred top 10%
1.079,Pred top 10%
1.079,Pred top 10%
1.079,Pred top 10%
3.4275,Pred top 10%
4.4704,Pred top 10%
4.4704,Pred top 10%
1.0051,Pred top 10%
1.0051,Pred top 10%
1.0051,Pred top 10%
1.0051,Pred top 10%
5.0358,Pred top 10%
6.678,Pred top 10%
5.427,Pred top 10%
5.427,Pred top 10%
3.4358,Pred top 10%
3.4358,Pred top 10%
3.4358,Pred top 10%
3.4358,Pred top 10%
3.4358,Pred top 10%
3.4358,Pred top 10%
3.4358,Pred top 10%
3.4358,Pred top 10%
3.4358,Pred top 10%
3.4358,Pred top 10%
3.4358,Pred top 10%
1.2281,Pred top 10%
1.2281,Pred top 10%
1.0605,Pred top 10%
1.2787,Pred top 10%
5.1271,Pred top 10%
5.1271,Pred top 10%
5.1271,Pred top 10%
5.1271,Pred top 10%
5.1271,Pred top 10%
5.1271,Pred top 10%
1.2092,Pred top 10%
1.2092,Pred top 10%
4.1429,Pred top 10%
4.1429,Pred top 10%
4.1429,Pred top 10%
4.1429,Pred top 10%
4.1429,Pred top 10%
4.1429,Pred top 10%
4.1429,Pred top 10%
7.7502,Pred top 10%
7.7502,Pred top 10%
4.2081,Pred top 10%
4.2081,Pred top 10%
4.2081,Pred top 10%
4.2081,Pred top 10%
4.2081,Pred top 10%
0.32393,Pred top 10%
0.32393,Pred top 10%
0.90978,Pred top 10%
0.90978,Pred top 10%
3.5243,Pred top 10%
3.6554,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
1.1258,Pred top 10%
0.49311,Pred top 10%
4.9258,Pred top 10%
5.6232,Pred top 10%
5.6232,Pred top 10%
5.6232,Pred top 10%
3.4826,Pred top 10%
3.4826,Pred top 10%
3.4826,Pred top 10%
3.4826,Pred top 10%
1.0557,Pred top 10%
4.7402,Pred top 10%
6.5141,Pred top 10%
6.5141,Pred top 10%
6.5141,Pred top 10%
6.5141,Pred top 10%
6.5141,Pred top 10%
6.5141,Pred top 10%
6.5141,Pred top 10%
6.5141,Pred top 10%
6.5141,Pred top 10%
6.5141,Pred top 10%
6.5141,Pred top 10%
6.5141,Pred top 10%
1.068,Pred top 10%
1.3395,Pred top 10%
1.3395,Pred top 10%
1.3395,Pred top 10%
1.3395,Pred top 10%
1.3395,Pred top 10%
4.8141,Pred top 10%
4.8141,Pred top 10%
0.19941,Pred top 10%
0.19941,Pred top 10%
0.19941,Pred top 10%
4.9065,Pred top 10%
6.1213,Pred top 10%
6.1213,Pred top 10%
6.1213,Pred top 10%
4.3968,Pred top 10%
4.3968,Pred top 10%
4.0519,Pred top 10%
4.0519,Pred top 10%
3.6667,Pred top 10%
3.6667,Pred top 10%
3.6667,Pred top 10%
3.6667,Pred top 10%
3.6667,Pred top 10%
3.4778,Pred top 10%
3.4778,Pred top 10%
3.4778,Pred top 10%
3.4547,Pred top 10%
0.40809,Pred top 10%
3.8119,Pred top 10%
0.24208,Pred top 10%
0.24208,Pred top 10%
0.24208,Pred top 10%
0.24208,Pred top 10%
0.24208,Pred top 10%
0.24208,Pred top 10%
0.24208,Pred top 10%
0.24208,Pred top 10%
0.24208,Pred top 10%
0.24208,Pred top 10%
0.24208,Pred top 10%
0.24208,Pred top 10%
0.24208,Pred top 10%
0.24208,Pred top 10%
