id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc	Base_K562_pred	RRA
A549|chr11_48091118-48091618	8	0.010112	0.018859	0.340099	85	5	-0.95841	0.80724	0.95997	1.0	1458	2	-0.95841	0.8846238916357068	-1.0
K562|chr5_139708270-139708770	8	0.010453	0.018859	0.340099	86	5	-0.74093	0.4771	0.84773	1.0	1131	3	-0.74093	0.6865297216868897	-1.0
K562|chr2_10303217-10303717	2	0.010471	0.0082081	0.229686	87	2	-0.77392	0.98953	0.99179	1.0	1597	0	-0.77392	0.7512941568585033	3.1245335841336144
A549|chr5_17235671-17236171	8	0.010478	0.018859	0.340099	88	4	-0.90835	0.44791	0.8136	1.0	1103	4	-0.90835	0.7054683624587925	-1.0
A549|chr6_112253845-112254345	8	0.010569	0.018859	0.340099	89	7	-0.3125	0.38705	0.78663	1.0	1025	1	-0.3125	0.7071028079456182	-1.0
K562|chr16_87868963-87869463	8	0.010891	0.019732	0.347308	90	4	-0.1508	0.17733	0.55555	1.0	662	4	-0.1508	0.831626425888445	3.531401619503753
K562|chr1_234973332-234973832	8	0.010947	0.020165	0.347308	91	4	-0.044502	0.63828	0.91131	1.0	1321	3	-0.044502	0.35194075223014054	-1.0
A549|chr9_21579845-21580345	6	0.011013	0.019634	0.347308	92	5	-0.92582	0.9931	0.9967	1.0	1605	0	-0.92582	0.19097422562472938	-1.0
K562|chr2_26763507-26764007	8	0.011644	0.020366	0.347308	93	6	-0.33364	0.51933	0.87067	1.0	1200	2	-0.33364	0.391818952097193	-1.0
A549|chr16_89300368-89300868	8	0.011732	0.020366	0.347308	94	3	0.074226	0.25983	0.67968	1.0	840	4	0.074226	0.37827276601041687	-1.0
A549|chr12_52901912-52902412	7	0.01222	0.018683	0.340099	95	5	-0.34548	0.87138	0.96072	1.0	1503	2	-0.34548	0.4901125726910837	-1.0
A549|chr5_17218254-17218754	5	0.012257	0.021769	0.364244	96	3	-0.5366	0.15198	0.46849	1.0	605	2	-0.5366	0.19741135835238327	-1.0
A549|chr15_63498541-63499041	8	0.01236	0.022312	0.369519	97	4	-0.23267	0.49331	0.8535	1.0	1154	3	-0.23267	0.8382867095186638	-1.0
A549|chr1_8026945-8027445	8	0.012704	0.023868	0.386918	98	5	-0.60446	0.90943	0.97797	1.0	1531	2	-0.60446	0.7442876942147874	-1.0
A549|chr3_58011162-58011662	8	0.012974	0.023874	0.386918	99	6	-0.3244	0.54084	0.87489	1.0	1229	1	-0.3244	0.5278266311738461	-1.0
A549|chr18_3618172-3618672	8	0.013685	0.025399	0.386918	100	4	0.17862	0.01121	0.091973	1.0	75	4	0.17862	0.8001769037888121	-1.0
A549|chr2_54632716-54633216	8	0.013854	0.025399	0.386918	101	7	-0.279	0.9919	0.99559	1.0	1599	1	-0.279	0.21732485870273993	-1.0
A549|chr18_58315683-58316183	8	0.013967	0.025405	0.386918	102	6	-0.61022	0.77258	0.95173	1.0	1430	2	-0.61022	0.7182480069053975	-1.0
K562|chr18_48935418-48935918	8	0.014531	0.028205	0.391343	103	5	-0.51688	0.56492	0.8883	1.0	1265	2	-0.51688	0.39703625737216286	-1.0
A549|chr10_34728214-34728714	8	0.014538	0.028205	0.391343	104	7	-0.87896	0.95762	0.98971	1.0	1568	1	-0.87896	0.7398009403004411	-1.0
*GLO1	5	0.014583	0.024515	0.386918	105	5	-0.63177	0.98542	0.99192	1.0	1592	0	-0.63177	-1.0	-1.0
A549|chr4_168832360-168832860	6	0.015635	0.025088	0.386918	106	4	-0.75574	0.33826	0.69776	1.0	951	2	-0.75574	0.5793393879123755	-1.0
A549|chr9_71769750-71770250	8	0.015697	0.028205	0.391343	107	6	-0.62394	0.92932	0.98115	1.0	1546	2	-0.62394	0.21626906994067752	-1.0
K562|chrX_107729164-107729664	8	0.015854	0.028205	0.391343	108	4	-0.16359	0.28989	0.71486	1.0	889	3	-0.16359	-1.0	-1.0
K562|chr1_26056788-26057288	7	0.01603	0.029993	0.409061	109	4	-1.48	0.91403	0.97514	1.0	1537	1	-1.48	0.22966195295780278	-1.0
K562|chr18_3610114-3610614	8	0.016119	0.028211	0.391343	110	5	-0.39376	0.94351	0.98529	1.0	1556	2	-0.39376	0.25151217785268815	-1.0
A549|chr12_62702172-62702672	6	0.016168	0.027925	0.391343	111	5	-2.1793	0.92035	0.9678	1.0	1540	1	-2.1793	0.23056121127565238	-1.0
A549|chr4_168863687-168864187	7	0.016216	0.029993	0.409061	112	5	-0.70438	0.56533	0.86598	1.0	1267	2	-0.70438	0.618078185475602	-1.0
K562|chr17_78313838-78314338	4	0.016216	0.020543	0.347308	113	4	-0.36483	0.98378	0.99224	1.0	1587	0	-0.36483	0.7891594520017462	3.447562982535936
A549|chr13_112741125-112741625	8	0.016603	0.028211	0.391343	114	4	-0.30438	0.27234	0.68335	1.0	863	3	-0.30438	0.2256661264029357	-1.0
K562|chr1_26695402-26695902	5	0.016835	0.025747	0.386918	115	4	-0.74759	0.10898	0.35108	1.0	485	1	-0.74759	0.8602101750377835	4.216046422595962
A549|chr1_8379431-8379931	5	0.016874	0.025747	0.386918	116	3	-0.81108	0.82086	0.92117	1.0	1469	1	-0.81108	0.49180563111763775	-1.0
K562|chr11_65502125-65502625	8	0.017005	0.028211	0.391343	117	6	-0.61404	0.99366	0.99636	1.0	1607	1	-0.61404	0.6536283407222317	-1.0
A549|chr13_112755383-112755883	8	0.017261	0.028211	0.391343	118	5	-0.29505	0.51399	0.86831	1.0	1188	3	-0.29505	0.2733084064198013	-1.0
A549|chr17_77394198-77394698	8	0.017705	0.033622	0.433168	119	2	0.39261	0.020363	0.18796	1.0	130	6	0.39261	0.2593712341882231	-1.0
A549|chr16_81433712-81434212	8	0.017971	0.033622	0.433168	120	6	-0.64511	0.91897	0.97968	1.0	1539	2	-0.64511	0.3149280268113394	-1.0
K562|chr16_87861020-87861520	8	0.018052	0.033622	0.433168	121	4	0.00049024	0.33746	0.75727	1.0	949	4	0.00049024	0.5435523289521678	-1.0
K562|chr19_41866699-41867199	7	0.018214	0.031707	0.422293	122	4	-0.33579	0.81909	0.95123	1.0	1462	2	-0.33579	0.4426316927495093	-1.0
A549|chr7_55078123-55078623	4	0.01824	0.024563	0.386918	123	3	-0.65162	0.53149	0.76007	1.0	1215	1	-0.65162	0.7025611758502152	-1.0
A549|chr15_78058499-78058999	8	0.018628	0.033629	0.433168	124	6	-0.26802	0.79274	0.95546	1.0	1447	1	-0.26802	0.7983325070188518	-1.0
K562|chr14_35300131-35300631	8	0.018828	0.035989	0.454433	125	5	-0.61906	0.79292	0.95546	1.0	1448	2	-0.61906	0.3903466445615931	-1.0
K562|chr6_7162177-7162677	8	0.018861	0.035989	0.454433	126	5	-0.44211	0.24577	0.66405	1.0	815	3	-0.44211	0.7910320312729087	-1.0
K562|chr1_246575871-246576371	8	0.0193	0.039418	0.463717	127	5	-0.72011	0.62948	0.90765	1.0	1315	2	-0.72011	0.5682321199186401	-1.0
K562|chr14_102516501-102517001	6	0.01955	0.031042	0.419843	128	3	-0.14005	0.54115	0.832	1.0	1230	2	-0.14005	0.7646738133669563	3.7126462272852536
K562|chr6_37056719-37057219	6	0.019954	0.031744	0.422293	129	4	-0.46085	0.7499	0.92134	1.0	1410	2	-0.46085	0.704368839956396	-1.0
K562|chr16_81443905-81444405	8	0.020233	0.040071	0.463717	130	4	-0.021269	0.58923	0.89969	1.0	1284	3	-0.021269	0.7694022653092984	10.967703655260529
K562|chr19_45884638-45885138	8	0.020359	0.043194	0.463717	131	4	-0.096226	0.92326	0.98035	1.0	1541	1	-0.096226	0.49531121368055553	-1.0
A549|chr13_112774773-112775273	8	0.021332	0.0432	0.463717	132	5	-0.30122	0.60958	0.90135	1.0	1298	3	-0.30122	0.7604486519303937	-1.0
K562|chr12_56684109-56684609	8	0.021872	0.044018	0.463717	133	5	-0.46424	0.29503	0.71487	1.0	899	3	-0.46424	0.7796812187391536	-1.0
A549|chr10_119358057-119358557	8	0.022181	0.044018	0.463717	134	3	0.1206	0.27206	0.68335	1.0	862	5	0.1206	0.7981752660262339	-1.0
A549|chr16_81461730-81462230	8	0.022245	0.044018	0.463717	135	3	0.12496	0.12308	0.48926	1.0	516	4	0.12496	0.37812984668645816	-1.0
A549|chr13_110399763-110400263	8	0.022535	0.044018	0.463717	136	6	-0.54457	0.54786	0.87489	1.0	1234	2	-0.54457	0.5719858814606884	-1.0
K562|chr17_82117076-82117576	7	0.022651	0.042371	0.463717	137	2	0.27982	0.15276	0.51576	1.0	606	5	0.27982	0.2452071181586068	-1.0
A549|chr12_3184772-3185272	8	0.02283	0.044024	0.463717	138	3	0.91623	0.0049502	0.050124	1.0	31	5	0.91623	0.24359127117574636	-1.0
K562|chr12_47820910-47821410	8	0.022961	0.044024	0.463717	139	3	0.39002	0.017282	0.1741	1.0	114	5	0.39002	0.769416966328344	4.392963387775915
A549|chr13_33217537-33218037	8	0.023284	0.044024	0.463717	140	4	-0.16821	0.8401	0.96806	1.0	1480	2	-0.16821	0.7514384019858849	-1.0
A549|chr14_68539916-68540416	8	0.023608	0.044024	0.463717	141	6	-0.57572	0.94702	0.98684	1.0	1559	1	-0.57572	0.7610506723280381	-1.0
K562|chr11_67280043-67280543	7	0.023964	0.043505	0.463717	142	3	0.27282	0.12632	0.43542	1.0	523	4	0.27282	0.2539708246754721	-1.0
A549|chr1_8343447-8343947	8	0.0241	0.044536	0.463717	143	5	-0.34879	0.24991	0.66924	1.0	822	3	-0.34879	0.3364827549341251	-1.0
K562|chr1_26035875-26036375	5	0.024684	0.038838	0.463717	144	2	0.34184	0.03545	0.17564	1.0	206	3	0.34184	0.2218806420618904	3.393178113983302
K562|chr17_79839284-79839784	7	0.02483	0.04389	0.463717	145	6	-0.68968	0.9119	0.97514	1.0	1535	1	-0.68968	0.5306514930366397	3.629006066485256
A549|chr6_71417795-71418295	8	0.024979	0.045994	0.463717	146	6	-0.62058	0.0031727	0.03979	1.0	23	2	-0.62058	0.542916937657265	-1.0
A549|chr15_60423455-60423955	7	0.025052	0.04389	0.463717	147	5	-0.79635	0.86999	0.96072	1.0	1501	2	-0.79635	0.24310889978431938	-1.0
A549|chr10_33178302-33178802	8	0.025422	0.045994	0.463717	148	6	-0.8212	0.92912	0.98115	1.0	1544	2	-0.8212	0.26015275157561935	-1.0
A549|chr13_112733080-112733580	6	0.025506	0.036953	0.454433	149	4	-0.45179	0.85271	0.95247	1.0	1490	2	-0.45179	0.17041025388911	-1.0
K562|chr11_32447186-32447686	8	0.025816	0.046	0.463717	150	4	-0.067834	0.13496	0.49727	1.0	547	4	-0.067834	0.6234068904458242	-1.0
A549|chr10_34688215-34688715	8	0.02587	0.046	0.463717	151	6	-0.65608	0.85044	0.96969	1.0	1488	1	-0.65608	0.2552023238226534	-1.0
K562|chr19_41865513-41866013	8	0.025903	0.046	0.463717	152	6	-0.46996	0.19756	0.58854	1.0	711	2	-0.46996	0.34584285586222335	-1.0
A549|chr18_77132578-77133078	4	0.026557	0.037283	0.454962	153	3	-0.59119	0.95881	0.97693	1.0	1569	0	-0.59119	0.8131276933653396	-1.0
A549|chr9_21580946-21581446	8	0.027052	0.046	0.463717	154	4	-0.34045	0.067464	0.32913	1.0	344	3	-0.34045	0.6845789930555682	-1.0
A549|chr4_87114233-87114733	6	0.027116	0.036959	0.454433	155	4	-0.64642	0.50838	0.81077	1.0	1179	2	-0.64642	0.7504236768438547	-1.0
A549|chr5_14144588-14145088	8	0.027321	0.046934	0.467321	156	4	-0.14814	0.56217	0.8883	1.0	1261	3	-0.14814	0.6097322815432438	-1.0
K562|chr1_246566732-246567232	4	0.027425	0.038448	0.463717	157	2	-0.3731	0.43668	0.70819	1.0	1088	2	-0.3731	0.8207854446414656	3.3514253346910063
A549|chr10_3821512-3822012	7	0.027729	0.046458	0.465438	158	6	-0.37052	0.98589	0.99203	1.0	1593	1	-0.37052	0.7577992462429319	-1.0
A549|chr7_27110496-27110996	6	0.027871	0.036959	0.454433	159	5	-0.54761	0.56146	0.84652	1.0	1259	1	-0.54761	0.7946087324261524	-1.0
A549|chr14_68522702-68523202	6	0.027993	0.036959	0.454433	160	4	-0.71173	0.83514	0.94467	1.0	1478	1	-0.71173	0.21394149686444752	-1.0
K562|chr4_1855354-1855854	5	0.02814	0.042883	0.463717	161	2	0.22251	0.076299	0.28944	1.0	387	3	0.22251	0.4760045037998081	3.27461114174569
K562|chr14_35291696-35292196	5	0.028157	0.042883	0.463717	162	3	-0.46077	0.55409	0.81685	1.0	1246	2	-0.46077	0.8015879857864432	5.054437869442936
K562|chr22_39521383-39521883	8	0.028544	0.05218	0.49243	163	2	0.45963	0.08588	0.38695	1.0	415	6	0.45963	0.7274462249616584	-1.0
A549|chr1_67689619-67690119	8	0.029162	0.05218	0.49243	164	6	-0.70876	0.85931	0.9697	1.0	1495	2	-0.70876	0.6063184079263605	-1.0
A549|chr2_20502008-20502508	8	0.029345	0.05218	0.49243	165	6	-0.57455	0.9466	0.9865	1.0	1558	2	-0.57455	0.7568254650428129	-1.0
K562|chr10_100346338-100346838	8	0.029404	0.05218	0.49243	166	5	-0.36527	0.51444	0.86831	1.0	1190	3	-0.36527	0.4839981962797785	9.228419867649306
K562|chr2_38746099-38746599	8	0.030288	0.052186	0.49243	167	6	-0.88603	0.99311	0.99635	1.0	1606	1	-0.88603	0.8107159804150545	-1.0
