tf	gene	locus_start	locus_end	id	chr	start	end	cell_line	RRA	label	neg_log10_score	neg_score_raw	source	score	coord_key	split_721
NRF1	SCARF1	1595744	1695744	EH38E3202968	chr17	1643206	1643706	K562	0.1507034591652735	0			cre4	0.91666179895401	chr17:1643206-1643706	valid
NRF1	SCARF1	1595744	1695744	EH38E3202969	chr17	1643612	1644112	K562	0.1507034591652735	0			cre4	1.5228712558746338	chr17:1643612-1644112	neither
NRF1	SCARF1	1595744	1695744	EH38E3202972	chr17	1645181	1645681	K562	0.2860644701090652	0			cre4	0.5029503703117371	chr17:1645181-1645681	test
NRF1	SCARF1	1595744	1695744	EH38E3202973	chr17	1645557	1646057	K562	1.18140465125368	0			cre4	1.8345701694488523	chr17:1645557-1646057	neither
NRF1	SCARF1	1595744	1695744	EH38E3202980	chr17	1648384	1648884	K562	0.7639668528823641	0			cre4	0.4976265430450439	chr17:1648384-1648884	neither
NRF1	SCARF1	1595744	1695744	EH38E3202981	chr17	1648794	1649294	K562	0.7639668528823641	0			cre4	0.8532952666282654	chr17:1648794-1649294	neither
NRF1	SCARF1	1595744	1695744	EH38E3202982	chr17	1649092	1649592	K562	0.7639668528823641	0			cre4	-0.5023369789123535	chr17:1649092-1649592	neither
NRF1	SCARF1	1595744	1695744	EH38E3202983	chr17	1649323	1649823	K562	1.2278030241293665	0			cre4	0.4887163639068603	chr17:1649323-1649823	neither
NRF1	SCARF1	1595744	1695744	EH38E3202984	chr17	1649855	1650355	K562	1.2278030241293665	0			cre4	0.9075124859809875	chr17:1649855-1650355	neither
NRF1	SCARF1	1595744	1695744	EH38E3202985	chr17	1650326	1650826	K562	0.7639668528823641	0			cre4	0.8585798740386963	chr17:1650326-1650826	neither
NRF1	SCARF1	1595744	1695744	EH38E3202987	chr17	1650812	1651312	K562	0.8205343869245688	0			cre4	1.611004114151001	chr17:1650812-1651312	neither
NRF1	SCARF1	1595744	1695744	EH38E3202988	chr17	1651322	1651822	K562	0.8205343869245688	0			cre4	0.241847887635231	chr17:1651322-1651822	neither
NRF1	SCARF1	1595744	1695744	EH38E3202999	chr17	1669046	1669546	K562	1.6639807880483342	0			cre4	1.3290810585021973	chr17:1669046-1669546	neither
NRF1	SCARF1	1595744	1695744	EH38E1840203	chr17	1669463	1669963	K562	1.6639807880483342	0			cre4	2.4757440090179443	chr17:1669463-1669963	neither
NRF1	SCARF1	1595744	1695744	EH38E1840209	chr17	1683390	1683890	K562	0.156132133587153	0			cre4	-0.7836199998855591	chr17:1683390-1683890	test
NRF1	SCARF1	1595744	1695744	EH38E1840210	chr17	1684004	1684504	K562	10.062196349988904	1			cre4	3.199777126312256	chr17:1684004-1684504	train
NRF1	SCARF1	1595744	1695744	EH38E3203008	chr17	1684216	1684716	K562	15.043241061634497	1			cre4	4.306824684143066	chr17:1684216-1684716	test
NRF1	SCARF1	1595744	1695744	EH38E3203009	chr17	1684707	1685207	K562	15.043241061634497	1			cre4	2.456554412841797	chr17:1684707-1685207	test
NRF1	SCARF1	1595744	1695744	EH38E3203010	chr17	1685085	1685585	K562	12.551510108488914	1			cre4	2.737748861312866	chr17:1685085-1685585	train
